DATE_0,OPEN_0,HIGH_0,LOW_0,CLOSE_0,VOLUME_0,AMOUNT_0,VWAP_CHANGE_0,OUTPUTVWAP_CHANGE_0
4/29/11,9.11,9.18,8.97,9.04,5.6725332E7,5.1463809E8,-0.004527768297966855,-0.0035787635728541595
4/30/11,9.0,9.12,8.96,8.97,3.310016E7,2.9922505E8,-0.0035787635728541595,-0.0041484676337153175
5/1/11,9.0,9.26,8.79,9.2,9.7357263E7,8.7645739E8,-0.0041484676337153175,0.012123754591049562
5/2/11,9.16,9.23,9.0,9.04,5.8089289E7,5.292881E8,0.012123754591049562,0.005290037416712848
5/3/11,9.05,9.22,9.02,9.2,6.8645571E7,6.2878181E8,0.005290037416712848,0.014682635215476504
5/4/11,9.25,9.43,9.17,9.42,9.5052703E7,8.8345035E8,0.014682635215476504,2.5678673460472954E-4
5/5/11,9.4,9.41,9.2,9.22,7.1883155E7,6.6827669E8,2.5678673460472954E-4,-0.00890557657791562
5/6/11,9.24,9.28,9.16,9.22,3.5464104E7,3.2676325E8,-0.00890557657791562,-0.007105458779519873
5/7/11,9.2,9.26,9.05,9.08,3.9647888E7,3.6271657E8,-0.007105458779519873,0.014261891106657718
5/8/11,9.12,9.42,9.08,9.4,8.7973331E7,8.1629753E8,0.014261891106657718,0.015175251261096982
5/9/11,9.35,9.5,9.32,9.44,9.7135312E7,9.1498844E8,0.015175251261096982,-0.0014562906481041498
5/10/11,9.46,9.51,9.29,9.39,6.3691281E7,5.9908098E8,-0.0014562906481041498,-0.015396333464185842
5/11/11,9.32,9.36,9.18,9.24,5.1391402E7,4.7594576E8,-0.015396333464185842,0.012722817385184312
5/12/11,9.23,9.48,9.23,9.45,6.4270717E7,6.0279652E8,0.012722817385184312,0.0038993015165759795
5/13/11,9.45,9.48,9.36,9.4,5.0273854E7,4.7335822E8,0.0038993015165759795,-0.0020937061766511215
5/14/11,9.36,9.48,9.32,9.37,5.1836488E7,4.8704947E8,-0.0020937061766511215,-0.012788309807705688
5/15/11,9.25,9.37,9.18,9.27,4.9204966E7,4.5641166E8,-0.012788309807705688,-0.0097486069433384
5/16/11,9.24,9.28,9.13,9.19,5.3024869E7,4.8704923E8,-0.0097486069433384,0.00341075515467045
5/17/11,9.16,9.29,9.14,9.23,5.506476E7,5.0751135E8,0.00341075515467045,-7.133289806994477E-4
5/18/11,9.25,9.28,9.14,9.19,4.7501799E7,4.3749406E8,-7.133289806994477E-4,0.005560924680774698
5/19/11,9.25,9.31,9.2,9.26,4.1743292E7,3.8659585E8,0.005560924680774698,0.008415463109220717
5/20/11,9.41,9.41,9.25,9.26,5.7740009E7,5.3924588E8,0.008415463109220717,-0.00850482331384925
5/21/11,9.27,9.31,9.2,9.28,4.2757386E7,3.9592392E8,-0.00850482331384925,0.0020470905695494385
5/22/11,9.28,9.36,9.2,9.32,8.144779E7,7.5573238E8,0.0020470905695494385,0.0050973945041000186
5/23/11,9.32,9.4,9.28,9.33,8.7754888E7,8.1840484E8,0.0050973945041000186,0.009086343870166783
5/24/11,9.35,9.53,9.31,9.51,1.28341832E8,1.20779558E9,0.009086343870166783,0.012125577455923835
5/25/11,9.57,9.62,9.45,9.48,1.26664015E8,1.20645979E9,0.012125577455923835,0.009252618236783515
5/26/11,9.48,9.7,9.46,9.66,1.3612111E8,1.30853387E9,0.009252618236783515,-0.0029697688372440877
5/27/11,9.67,9.67,9.51,9.54,7.7757837E7,7.4526716E8,-0.0029697688372440877,-0.003984572611563352
5/28/11,9.5,9.59,9.49,9.55,4.6237868E7,4.4139934E8,-0.003984572611563352,0.0074910673683851675
5/29/11,9.55,9.7,9.54,9.69,7.4013187E7,7.1184295E8,0.0074910673683851675,0.004314332695415517
5/30/11,9.74,9.75,9.58,9.58,6.6098035E7,6.3845941E8,0.004314332695415517,-0.0159586783059719
5/31/11,9.53,9.61,9.41,9.44,6.8450355E7,6.5062955E8,-0.0159586783059719,-0.012112397327943832
6/1/11,9.39,9.44,9.33,9.34,5.1077237E7,4.7961528E8,-0.012112397327943832,0.004271598538671504
6/2/11,9.39,9.5,9.37,9.46,5.4828552E7,5.1703932E8,0.004271598538671504,0.0028780522953763474
6/3/11,9.47,9.51,9.42,9.47,4.7510501E7,4.4931874E8,0.0028780522953763474,-0.008844666377954714
6/4/11,9.44,9.45,9.33,9.38,5.2784386E7,4.9477998E8,-0.008844666377954714,0.010779224409970556
6/5/11,9.39,9.53,9.35,9.47,6.143015E7,5.8202887E8,0.010779224409970556,2.1974542161632823E-4
6/6/11,9.53,9.61,9.32,9.36,9.9280321E7,9.4085251E8,2.1974542161632823E-4,-0.012237177136553722
6/7/11,9.36,9.45,9.16,9.19,7.0673894E7,6.6156127E8,-0.012237177136553722,-0.010512322395346323
6/8/11,9.25,9.34,9.2,9.25,7.2584563E7,6.7230402E8,-0.010512322395346323,0.002505941299936258
6/9/11,9.26,9.32,9.24,9.28,5.0228036E7,4.6639576E8,0.002505941299936258,-0.012399467238866155
6/10/11,9.25,9.26,9.12,9.12,6.2725576E7,5.7522052E8,-0.012399467238866155,-0.00854271826621272
6/11/11,9.18,9.19,9.02,9.08,5.186706E7,4.7157997E8,-0.00854271826621272,0.002364758776939117
6/12/11,9.09,9.21,9.03,9.12,3.8651197E7,3.5225118E8,0.002364758776939117,-0.004651673246147714
6/13/11,9.1,9.12,9.02,9.06,3.5268448E7,3.1992704E8,-0.004651673246147714,0.004277589930215899
6/14/11,9.05,9.17,9.05,9.13,3.3692849E7,3.0694185E8,0.004277589930215899,0.0014922860978257393
6/15/11,9.15,9.17,9.08,9.12,2.729464E7,2.4902523E8,0.0014922860978257393,-0.006971002036547163
6/16/11,9.12,9.14,8.93,8.97,4.3565307E7,3.9470142E8,-0.006971002036547163,-0.014499688755154595
6/17/11,8.94,9.0,8.85,8.87,4.8391415E7,4.3206889E8,-0.014499688755154595,-7.45288693439387E-4
6/18/11,8.92,8.97,8.88,8.93,5.0587012E7,4.5133593E8,-7.45288693439387E-4,-0.005631084112151271
6/19/11,8.9,8.95,8.81,8.93,7.6352001E7,6.773745E8,-0.005631084112151271,0.00315615726726735
6/20/11,8.93,8.96,8.84,8.94,5.6682481E7,5.0445893E8,0.00315615726726735,-0.0025431161180093664
6/21/11,8.89,8.94,8.83,8.84,3.4889828E7,3.0972048E8,-0.0025431161180093664,-0.004207474122203965
6/22/11,8.86,8.93,8.78,8.92,4.5147E7,3.9908817E8,-0.004207474122203965,0.006401664570954522
6/23/11,8.87,8.95,8.85,8.89,3.9397074E7,3.5048971E8,0.006401664570954522,0.01310484038216057
6/24/11,8.89,9.14,8.87,9.12,6.4571634E7,5.8197921E8,0.01310484038216057,0.00883505854280218
6/25/11,9.11,9.15,9.02,9.14,6.1175666E7,5.5624301E8,0.00883505854280218,-0.0018345481870021827
6/26/11,9.08,9.12,9.04,9.06,3.8614798E7,3.5046299E8,-0.0018345481870021827,-0.010147334416838273
6/27/11,9.06,9.09,8.93,8.93,4.9466011E7,4.443916E8,-0.010147334416838273,0.006830473402271047
6/28/11,8.93,9.14,8.92,9.12,6.711799E7,6.0709163E8,0.006830473402271047,0.007140809430594518
6/29/11,9.1,9.16,9.06,9.12,4.8488E7,4.4171258E8,0.007140809430594518,0.014840521746569297
6/30/11,9.1,9.32,9.09,9.31,7.7240835E7,7.1408557E8,0.014840521746569297,0.002494652637727408
7/1/11,9.27,9.33,9.21,9.24,4.1839068E7,3.8776389E8,0.002494652637727408,0.01603155975120415
7/2/11,9.23,9.55,9.22,9.38,1.13165453E8,1.06562997E9,0.01603155975120415,-0.004572637233202723
7/3/11,9.34,9.44,9.33,9.35,6.6489024E7,6.2323537E8,-0.004572637233202723,-0.0012485695072988593
7/4/11,9.42,9.46,9.3,9.37,5.3826936E7,5.0391723E8,-0.0012485695072988593,0.004694928842894937
7/5/11,9.39,9.45,9.35,9.41,4.7114993E7,4.4315218E8,0.004694928842894937,0.010385642813159728
7/6/11,9.48,9.59,9.41,9.56,1.07696972E8,1.02349192E9,0.010385642813159728,-0.0020638856283527215
7/7/11,9.51,9.55,9.42,9.46,6.0560075E7,5.7434133E8,-0.0020638856283527215,-0.0035003223228423598
7/8/11,9.47,9.5,9.39,9.49,7.1659892E7,6.7723123E8,-0.0035003223228423598,-0.004643055689583245
7/9/11,9.43,9.48,9.34,9.42,8.2225733E7,7.7347705E8,-0.004643055689583245,-0.006781641543971143
7/10/11,9.41,9.42,9.28,9.36,8.6721348E7,8.1023395E8,-0.006781641543971143,-0.011493762745697437
7/11/11,9.3,9.31,9.18,9.2,6.5066893E7,6.0093002E8,-0.011493762745697437,-0.0075427097342163855
7/12/11,9.21,9.24,9.11,9.16,6.7576254E7,6.1939796E8,-0.0075427097342163855,5.128884465448526E-4
7/13/11,9.16,9.23,9.12,9.16,3.5532729E7,3.2585689E8,5.128884465448526E-4,-0.0026932699449110976
7/14/11,9.21,9.23,9.06,9.08,7.0896633E7,6.4841448E8,-0.0026932699449110976,-0.014624799651399213
7/15/11,9.0,9.05,8.98,9.04,6.0429994E7,5.4460456E8,-0.014624799651399213,-0.00674615239298925
7/16/11,9.03,9.03,8.89,8.91,7.5535741E7,6.7614754E8,-0.00674615239298925,7.46129383087834E-4
7/17/11,8.93,9.02,8.9,8.97,4.3092663E7,3.8602571E8,7.46129383087834E-4,-0.010318652426050066
7/18/11,8.92,8.92,8.82,8.86,6.1950167E7,5.4922559E8,-0.010318652426050066,-5.002886092750981E-4
7/19/11,8.86,8.91,8.83,8.87,4.6679612E7,4.1363587E8,-5.002886092750981E-4,0.0071351274329331015
7/20/11,8.9,8.97,8.88,8.96,6.7549651E7,6.0283965E8,0.0071351274329331015,-0.0018704136336491436
7/21/11,8.95,8.96,8.85,8.89,6.1979794E7,5.5209747E8,-0.0018704136336491436,-0.00342545935422089
7/22/11,8.88,8.94,8.81,8.85,4.9757216E7,4.4170416E8,-0.00342545935422089,-0.0077493298715692206
7/23/11,8.85,8.86,8.77,8.79,4.5887776E7,4.0419769E8,-0.0077493298715692206,0.0018443346387428637
7/24/11,8.8,8.88,8.77,8.87,5.2347656E7,4.6194929E8,0.0018443346387428637,0.007479246884492014
7/25/11,8.86,8.98,8.82,8.95,9.3478648E7,8.3108529E8,0.007479246884492014,-0.00441669359645535
7/26/11,8.92,8.93,8.79,8.82,8.8036486E7,7.7924402E8,-0.00441669359645535,-0.008949212463292186
7/27/11,8.79,8.8,8.75,8.77,6.7011196E7,5.8783313E8,-0.008949212463292186,0.0019344856858856468
7/28/11,8.78,8.84,8.75,8.78,4.2401677E7,3.7267396E8,0.0019344856858856468,-0.016780471590888184
7/29/11,8.71,8.71,8.58,8.59,6.9367973E7,5.9945352E8,-0.016780471590888184,-0.006521598053561072
7/30/11,8.62,8.64,8.55,8.56,6.9666907E7,5.9811056E8,-0.006521598053561072,0.0011623116659608612
7/31/11,8.59,8.68,8.55,8.62,4.9918846E7,4.2906587E8,0.0011623116659608612,0.0012713719903703576
8/1/11,8.68,8.7,8.53,8.56,4.8026408E7,4.1332468E8,0.0012713719903703576,-0.026229537134364753
8/2/11,8.51,8.53,8.31,8.34,1.4038973E8,1.17653044E9,-0.026229537134364753,-0.004604036371951535
